,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
0,50.0,0.1,7.0,2.0,adam,relu,0.0002926695157002588,50.0,False,1.0,0.0,0.55,0.0,0.10331816971302032,0.9692146003246307,2021-07-13_04-51-44
1,50.0,0.1,9.0,2.0,adam,relu,0.0010121313419289308,50.0,False,1.0,0.0,0.7,0.0,0.17426781952381135,0.9518934071063996,2021-07-12_18-42-41
2,50.0,0.2,7.0,2.0,adam,relu,0.00013908066381466164,50.0,False,1.0,0.0,0.45,0.6,0.423326900601387,0.8361413061618805,2021-07-12_22-42-00
3,50.0,0.1,7.0,2.0,adam,relu,2.6619138129171e-05,50.0,False,1.0,0.0,0.55,0.0,0.3044119954109192,0.8685834467411041,2021-07-13_05-26-06
4,50.0,0.1,7.0,2.0,adam,elu,0.00014230595720263425,50.0,False,1.0,0.0,0.6,0.0,0.4446697384119034,0.8481767237186432,2021-07-13_06-55-08
5,100.0,0.4,5.0,3.0,adam,relu,4.479939905880445e-05,10.0,True,0.0,1.0,0.7,0.6,0.7311981022357941,0.5420289754867553,2021-07-12_15-56-59
6,50.0,0.2,7.0,2.0,adam,relu,0.0002517467629408957,50.0,False,1.0,0.0,0.65,0.0,0.45880927741527555,0.846739137172699,2021-07-13_03-40-43
7,100.0,0.1,7.0,2.0,adam,relu,0.0002361958835629883,50.0,False,1.0,0.0,0.4,0.0,0.2693732924759388,0.9077075123786926,2021-07-12_22-16-54
8,50.0,0.1,7.0,2.0,adam,relu,0.0009013239143801428,50.0,False,1.0,0.0,0.75,0.0,0.14329666495323182,0.9575035035610199,2021-07-13_12-02-04
9,50.0,0.5,5.0,2.0,sgd,elu,0.0005210407845793938,30.0,False,0.0,1.0,0.5,0.6,0.6933758974075317,0.5180124193429947,2021-07-12_17-00-38
10,50.0,0.2,9.0,2.0,adam,relu,0.0006972274949819272,50.0,False,1.0,0.0,0.35,0.0,0.6893248975276947,0.8252717435359955,2021-07-12_21-09-36
11,100.0,0.8,7.0,2.0,adam,relu,0.00034775761457911093,20.0,False,1.0,0.0,0.75,0.6,0.7581319808959961,0.6065217435359955,2021-07-13_08-25-16
12,50.0,0.2,5.0,2.0,sgd,relu,0.0028724833975809117,40.0,False,1.0,1.0,0.6,0.6,0.6725546061992645,0.571739137172699,2021-07-12_15-34-37
13,50.0,0.1,7.0,3.0,adam,relu,3.630863359777392e-05,50.0,False,1.0,1.0,0.65,0.6,0.21251395493745803,0.9160589098930358,2021-07-13_01-18-44
14,50.0,0.4,7.0,2.0,adam,relu,0.00217323441339333,50.0,False,1.0,0.0,0.6,0.0,1.3685207128524781,0.726086950302124,2021-07-12_20-01-28
15,50.0,0.1,7.0,2.0,adam,relu,0.0004199090584226593,40.0,False,1.0,1.0,0.6,0.0,0.13806861340999604,0.9615006983280182,2021-07-12_22-09-19
16,50.0,0.4,7.0,2.0,adam,relu,0.0029806639881040987,20.0,True,0.0,2.0,0.45,0.6,0.7003230333328248,0.6046195745468139,2021-07-12_16-37-25
17,50.0,0.1,5.0,2.0,sgd,elu,0.001119706510013367,40.0,False,1.0,0.0,0.65,0.0,0.6837987899780273,0.5476157009601593,2021-07-12_23-08-29
18,50.0,0.2,7.0,2.0,adam,relu,0.00020925026137229942,50.0,False,1.0,0.0,0.7,0.0,0.4752664178609848,0.844157612323761,2021-07-13_04-14-44
19,50.0,0.1,7.0,2.0,adam,relu,7.80561070188291e-05,40.0,False,1.0,0.0,0.55,0.0,0.18624009266495706,0.9244039237499238,2021-07-12_23-39-19
20,100.0,0.2,9.0,3.0,adam,relu,0.0035446683769065016,10.0,True,0.0,2.0,0.65,0.6,0.6879749417304992,0.62173912525177,2021-07-12_16-30-19
21,100.0,0.2,3.0,3.0,adam,relu,1.0967264664961796e-05,50.0,False,0.0,1.0,0.45,0.6,0.6799917340278625,0.5586956381797791,2021-07-12_15-46-26
