,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
18,100.0,0.5,7.0,3.0,sgd,relu,0.0003823077884481077,40.0,False,0.0,0.0,0.4,0.0,0.6954490065574646,0.4937420845031738,2021-07-12_15-36-14
19,100.0,0.6,3.0,3.0,sgd,relu,8.124641996107281e-05,40.0,False,0.0,1.0,0.3,0.6,0.6986217260360718,0.49606914520263673,2021-07-13_05-18-55
20,50.0,0.2,3.0,2.0,adam,relu,0.0002822789404000234,30.0,True,0.0,1.0,0.7,0.0,0.5331633120775223,0.7618891477584839,2021-07-12_22-15-49
21,50.0,0.8,3.0,3.0,adam,relu,1.808481254738364e-05,50.0,False,1.0,1.0,0.65,0.6,0.6879049956798553,0.5345839202404022,2021-07-13_09-19-48
22,50.0,0.3,5.0,2.0,adam,relu,0.00014352261053370848,20.0,True,0.0,1.0,0.75,0.0,0.6021377563476562,0.6856758654117584,2021-07-12_21-47-47
23,50.0,0.1,9.0,2.0,adam,elu,0.00018807118989224903,40.0,False,0.0,2.0,0.5,0.0,0.06989042274653912,0.9782927215099335,2021-07-13_17-06-59
24,50.0,0.3,9.0,2.0,adam,relu,8.949400485384974e-05,40.0,False,1.0,2.0,0.55,0.0,0.5681200057268143,0.7920212626457215,2021-07-13_15-40-25
25,50.0,0.5,5.0,2.0,adam,relu,2.0970934729505326e-05,40.0,True,0.0,0.0,0.45,0.0,0.663905680179596,0.5932090401649475,2021-07-12_20-56-24
26,100.0,0.1,9.0,2.0,adam,elu,0.003428283307400921,30.0,False,1.0,2.0,0.25,0.0,0.8629220604896546,0.5683719575405121,2021-07-13_11-53-56
27,100.0,0.4,9.0,2.0,sgd,elu,0.0004378769416719072,10.0,True,1.0,1.0,0.25,0.6,0.7199181020259857,0.5502838253974914,2021-07-12_15-54-32
28,100.0,0.6,7.0,2.0,adam,relu,0.00975289334130838,40.0,True,0.0,0.0,0.65,0.0,0.8151966094970703,0.5692052125930787,2021-07-12_21-48-25
29,50.0,0.4,9.0,2.0,sgd,relu,2.935957514757048e-05,50.0,False,1.0,1.0,0.65,0.0,0.6945531904697418,0.4858530730009079,2021-07-13_04-21-18
30,50.0,0.5,3.0,3.0,adam,relu,1.9836639834224128e-05,30.0,False,1.0,1.0,0.35,0.6,0.6665808141231537,0.5983836352825165,2021-07-13_07-35-13
31,50.0,0.1,9.0,2.0,adam,relu,0.0002001859660843104,30.0,False,1.0,2.0,0.25,0.0,0.2525476098060608,0.9242773473262786,2021-07-13_11-39-05
32,50.0,0.1,9.0,2.0,adam,elu,0.00018084764348262882,40.0,False,0.0,2.0,0.6,0.0,0.06786810532212258,0.9795102179050446,2021-07-13_16-51-08
33,50.0,0.2,3.0,3.0,adam,elu,0.0008830172903232159,30.0,True,1.0,2.0,0.2,0.6,0.6000222265720367,0.6822837769985199,2021-07-12_17-03-03
34,50.0,0.1,9.0,2.0,adam,elu,0.00017667534963634854,40.0,False,0.0,2.0,0.6,0.0,0.07675755508244038,0.9766167998313904,2021-07-13_16-22-02
35,50.0,0.4,5.0,3.0,adam,elu,0.00014527545274459008,20.0,True,1.0,2.0,0.75,0.0,0.6318321585655212,0.6444626569747924,2021-07-13_02-38-08
36,50.0,0.1,7.0,2.0,adam,relu,0.0008143055814800887,30.0,False,1.0,2.0,0.45,0.0,0.2192813739180565,0.9338101089000702,2021-07-13_10-38-42
37,50.0,0.1,5.0,2.0,sgd,relu,0.002344013115596857,40.0,False,1.0,2.0,0.5,0.0,0.3022855669260025,0.8583855628967285,2021-07-13_10-27-29
38,50.0,0.4,7.0,2.0,sgd,relu,0.0007050111453850071,30.0,False,1.0,2.0,0.2,0.0,0.6928233802318573,0.5133556574583054,2021-07-13_11-05-48
39,50.0,0.2,3.0,3.0,adam,relu,0.0005705606321060368,50.0,False,1.0,1.0,0.55,0.6,0.3441795289516449,0.9020220160484314,2021-07-13_09-05-51
40,50.0,0.1,3.0,3.0,adam,relu,8.00872575520629e-05,10.0,True,1.0,2.0,0.6,0.6,0.5742621481418609,0.6954763948917388,2021-07-12_19-09-42
41,50.0,0.2,5.0,3.0,adam,relu,6.677289569999424e-05,30.0,True,1.0,2.0,0.55,0.6,0.579110449552536,0.6836715996265411,2021-07-13_01-53-55
42,50.0,0.1,3.0,3.0,adam,elu,0.00020675994935397484,50.0,True,1.0,2.0,0.6,0.6,0.3728044182062149,0.83490549325943,2021-07-12_18-31-40
43,100.0,0.4,5.0,2.0,adam,relu,1.3300003495079944e-05,40.0,False,0.0,1.0,0.7,0.0,0.6689497470855713,0.6011656135320663,2021-07-12_20-57-19
44,50.0,0.1,9.0,2.0,adam,relu,0.0002176083748523968,40.0,False,1.0,2.0,0.5,0.0,0.1129028894007206,0.9653586745262146,2021-07-13_14-24-18
45,50.0,1.0,3.0,2.0,adam,relu,0.005540760979475298,40.0,False,1.0,1.0,0.3,0.6,0.6950806736946106,0.5062714248895646,2021-07-13_06-35-29
46,100.0,0.3,5.0,2.0,adam,relu,1.830657216987421e-05,20.0,True,0.0,1.0,0.55,0.0,0.6555780291557312,0.6175034880638123,2021-07-12_15-47-56
47,100.0,0.5,7.0,2.0,adam,relu,0.0004756756357293084,20.0,False,1.0,2.0,0.2,0.0,0.9170383632183075,0.6216230392456055,2021-07-13_11-12-09
48,50.0,0.2,3.0,3.0,sgd,elu,0.00013250979783957175,10.0,True,0.0,2.0,0.2,0.6,0.7030608773231506,0.5373365879058838,2021-07-12_16-53-42
49,50.0,0.1,9.0,2.0,adam,elu,0.00010691106516265416,40.0,False,0.0,2.0,0.65,0.0,0.15361207872629165,0.9671858370304107,2021-07-13_18-15-39
50,50.0,0.1,9.0,2.0,adam,relu,0.00017610395834458822,40.0,False,1.0,2.0,0.6,0.0,0.10071360766887665,0.9711418569087982,2021-07-13_15-32-56
51,50.0,0.8,9.0,3.0,sgd,relu,0.00011463678566918648,40.0,True,1.0,0.0,0.55,0.6,0.7119324862957,0.529876497387886,2021-07-12_20-35-59
52,50.0,0.5,9.0,2.0,sgd,elu,0.00014359628785762124,50.0,False,0.0,2.0,0.65,0.0,0.6906175255775452,0.5372761636972427,2021-07-13_17-22-09
53,100.0,0.1,9.0,2.0,adam,elu,0.00013063167693654353,40.0,False,0.0,2.0,0.6,0.0,0.45215644836425783,0.8263196468353271,2021-07-13_18-23-38
54,50.0,0.1,5.0,2.0,adam,relu,0.00043083325665834723,40.0,False,1.0,2.0,0.5,0.0,0.18604672104120254,0.9446650385856629,2021-07-13_09-30-02
55,50.0,0.2,3.0,3.0,adam,elu,0.0001712059252067766,50.0,True,1.0,2.0,0.6,0.6,0.5896502435207367,0.6758013546466828,2021-07-12_23-57-10
56,50.0,0.8,9.0,2.0,adam,relu,0.0003660850164214151,40.0,False,1.0,2.0,0.6,0.0,0.7499036431312561,0.5923869252204895,2021-07-13_16-23-12
57,100.0,0.7,9.0,2.0,adam,relu,4.325745432826404e-05,20.0,False,1.0,1.0,0.5,0.6,0.6919620871543884,0.5407726347446442,2021-07-12_15-55-14
58,50.0,0.7,5.0,2.0,sgd,relu,6.941858770240523e-05,40.0,False,0.0,0.0,0.55,0.0,0.6980034530162811,0.4962264150381088,2021-07-12_21-35-35
59,50.0,0.1,3.0,3.0,sgd,relu,0.001913276825162579,40.0,False,1.0,0.0,0.5,0.0,0.49563412070274354,0.7489334225654602,2021-07-13_08-04-41
60,50.0,0.1,3.0,3.0,adam,relu,3.0827140079094755e-05,30.0,False,1.0,0.0,0.45,0.0,0.4720433473587036,0.7639448463916778,2021-07-13_06-34-44
61,50.0,0.3,7.0,2.0,adam,relu,0.0002763272664507121,30.0,False,1.0,2.0,0.4,0.0,0.781196242570877,0.7788689970970154,2021-07-13_09-43-12
62,50.0,0.3,3.0,3.0,adam,relu,1.2819278753722513e-05,40.0,False,1.0,2.0,0.75,0.6,0.6638744592666626,0.5959088444709778,2021-07-13_03-30-03
63,50.0,0.2,9.0,2.0,adam,relu,0.0002815566848118261,40.0,False,1.0,2.0,0.6,0.0,0.5027716219425201,0.8667478084564209,2021-07-13_16-06-07
64,50.0,0.1,9.0,2.0,adam,relu,0.0005349493228325157,20.0,False,1.0,2.0,0.3,0.0,0.28132772743701934,0.9078424096107482,2021-07-13_12-57-15
65,50.0,0.9,5.0,3.0,adam,elu,0.0006277676159130242,50.0,True,1.0,1.0,0.55,0.6,0.7212675511837006,0.5664304614067077,2021-07-12_20-00-39
66,50.0,0.8,7.0,3.0,adam,relu,1.981591444809835e-05,50.0,False,1.0,0.0,0.7,0.0,0.6842489659786224,0.5573907792568207,2021-07-13_05-13-38
67,50.0,0.3,5.0,3.0,adam,elu,0.00035035992253282526,30.0,True,1.0,2.0,0.65,0.6,0.6523298740386962,0.6184990763664245,2021-07-13_00-44-00
68,50.0,0.6,3.0,3.0,adam,elu,0.00020578048092105555,50.0,True,1.0,2.0,0.55,0.6,0.6732517540454864,0.5930308759212494,2021-07-12_18-39-46
69,100.0,0.4,5.0,2.0,adam,relu,0.0007524285324219768,50.0,False,1.0,0.0,0.3,0.0,1.0127475380897522,0.6436291038990021,2021-07-13_09-17-02
70,50.0,0.1,3.0,3.0,adam,elu,0.0011637525466707329,50.0,True,1.0,2.0,0.7,0.6,0.4516359269618988,0.8313056826591492,2021-07-12_23-47-13
