,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
0,100.0,0.2,7.0,3.0,adam,relu,0.0008859407967563471,30.0,False,1.0,2.0,0.45,0.0,0.4739194691181183,0.8827242612838745,2021-07-27_11-24-05
1,50.0,0.1,7.0,2.0,adam,relu,0.0002753575439859541,50.0,False,1.0,1.0,0.5,0.6,0.04971945490688086,0.982276850938797,2021-07-27_14-10-45
2,100.0,0.2,9.0,2.0,adam,relu,0.0021965350685904748,50.0,True,1.0,2.0,0.45,0.0,0.4860777512192726,0.8522701978683471,2021-07-27_13-41-56
3,50.0,0.2,7.0,2.0,adam,relu,0.00036734093754049035,50.0,False,1.0,1.0,0.55,0.6,0.28436358869075773,0.9234746158123016,2021-07-27_14-17-42
4,50.0,0.3,9.0,2.0,sgd,relu,0.0001850968432872626,30.0,False,1.0,1.0,0.6,0.6,0.6940220713615417,0.4839824765920639,2021-07-27_11-38-15
5,100.0,0.1,7.0,3.0,adam,relu,0.0013950069698239833,50.0,True,1.0,1.0,0.5,0.6,0.1320337787270546,0.9539597451686859,2021-07-27_10-50-57
6,50.0,0.1,3.0,2.0,adam,relu,0.0006665862076385941,50.0,False,1.0,1.0,0.5,0.6,0.09794812947511673,0.969582486152649,2021-07-27_11-54-01
7,50.0,0.9,7.0,3.0,sgd,elu,0.00010725789190715284,20.0,True,0.0,0.0,0.35,0.6,0.7133902847766876,0.5427339881658554,2021-07-27_09-50-49
8,50.0,0.2,7.0,3.0,adam,relu,0.00010606428777915564,50.0,False,1.0,1.0,0.3,0.6,0.4464248538017273,0.7781245172023773,2021-07-27_10-29-29
9,50.0,0.8,7.0,3.0,adam,relu,9.069389263385229e-05,50.0,True,1.0,0.0,0.45,0.6,0.6626435279846191,0.6129310309886933,2021-07-27_10-34-00
10,50.0,0.3,7.0,3.0,adam,relu,0.0034054853565398465,30.0,False,0.0,1.0,0.7,0.6,0.7093989387154579,0.8066536843776703,2021-07-27_09-58-19
11,50.0,0.1,7.0,2.0,adam,relu,0.0009898023795515765,30.0,True,1.0,1.0,0.4,0.0,0.1812046065926552,0.940063750743866,2021-07-27_11-18-31
12,100.0,0.1,7.0,3.0,adam,relu,0.0005019950133474728,10.0,False,1.0,0.0,0.55,0.6,0.22769631296396256,0.9231418311595917,2021-07-27_11-03-25
13,50.0,0.2,7.0,2.0,sgd,relu,0.0004462989728363614,50.0,False,1.0,1.0,0.55,0.6,0.6841687977313995,0.5580577611923218,2021-07-27_13-33-42
14,50.0,0.1,7.0,2.0,adam,relu,0.0024864857815729163,50.0,False,1.0,1.0,0.55,0.6,0.16736206859350206,0.9527396082878112,2021-07-27_14-02-15
15,50.0,0.3,7.0,2.0,adam,elu,0.00029086805720209154,50.0,False,1.0,1.0,0.65,0.6,0.6742838799953461,0.6671048402786255,2021-07-27_14-52-16
16,50.0,0.4,9.0,2.0,adam,relu,0.001182859265560609,50.0,False,1.0,2.0,0.25,0.6,0.768718495965004,0.7977130353450775,2021-07-27_12-00-26
17,50.0,0.1,7.0,2.0,sgd,relu,0.0010333872827823897,40.0,False,1.0,1.0,0.65,0.6,0.5625531643629074,0.7106211483478546,2021-07-27_12-31-13
18,50.0,0.9,7.0,2.0,adam,relu,0.0013961336308885846,50.0,False,1.0,0.0,0.25,0.6,1.2419292479753494,0.6866995096206665,2021-07-27_11-10-14
19,50.0,0.2,7.0,2.0,adam,relu,0.0005399623373071982,40.0,True,1.0,1.0,0.5,0.0,0.5164953649044037,0.780763852596283,2021-07-27_14-03-14
20,100.0,0.1,5.0,3.0,adam,relu,0.003969363237839372,50.0,True,1.0,1.0,0.45,0.6,0.4898820295929909,0.9091853201389313,2021-07-27_10-56-20
21,50.0,0.5,5.0,2.0,adam,relu,0.00041620766344160757,10.0,False,1.0,1.0,0.6,0.6,0.64055395424366,0.6357142925262451,2021-07-27_11-31-38
22,50.0,0.2,5.0,3.0,adam,relu,0.00016707899120722958,50.0,True,1.0,0.0,0.5,0.6,0.6141134828329087,0.6348004937171936,2021-07-27_13-05-11
23,50.0,0.1,7.0,2.0,adam,relu,0.00033018050659498966,50.0,False,1.0,1.0,0.65,0.6,0.05237425956875086,0.9822830200195313,2021-07-27_14-32-18
24,50.0,0.1,3.0,2.0,adam,relu,5.5733158857952986e-05,50.0,False,1.0,2.0,0.5,0.0,0.14562100395560265,0.948214715719223,2021-07-27_11-40-15
25,50.0,0.2,9.0,2.0,adam,relu,0.0006225950376156537,50.0,False,1.0,1.0,0.2,0.6,0.3996362403035164,0.8943875253200531,2021-07-27_13-55-09
26,50.0,0.2,3.0,2.0,adam,relu,0.0003036379922001739,40.0,False,1.0,1.0,0.5,0.6,0.27290774285793307,0.9084381341934205,2021-07-27_13-19-45
27,50.0,0.4,9.0,3.0,sgd,elu,0.00041568369270141757,30.0,False,0.0,1.0,0.7,0.0,0.6927790522575379,0.5401942402124404,2021-07-27_09-58-56
28,50.0,0.1,7.0,2.0,sgd,relu,0.004027532703644661,50.0,False,1.0,1.0,0.5,0.6,0.2763517424464226,0.9028013110160827,2021-07-27_13-29-12
29,50.0,0.1,9.0,3.0,adam,elu,0.00043145262970107023,50.0,False,1.0,1.0,0.25,0.6,0.34346640706062315,0.9032414674758911,2021-07-27_09-52-54
30,50.0,0.1,7.0,2.0,adam,relu,0.0002184077880597272,50.0,False,1.0,1.0,0.6,0.6,0.10834026299417018,0.9668223023414612,2021-07-27_14-25-07
31,50.0,0.1,7.0,2.0,adam,relu,0.0002624210903917019,50.0,False,1.0,1.0,0.55,0.6,0.06898788977414369,0.9786507725715637,2021-07-27_11-25-52
32,50.0,0.1,7.0,2.0,sgd,relu,0.000475763628979358,50.0,False,1.0,1.0,0.4,0.6,0.6866800129413605,0.5370711594820022,2021-07-27_12-51-05
33,100.0,0.2,9.0,3.0,adam,relu,0.00014096175530813016,30.0,False,0.0,1.0,0.35,0.6,0.3641799986362457,0.8357142746448517,2021-07-27_10-34-35
34,100.0,0.2,5.0,3.0,adam,elu,0.0005382871890968949,50.0,False,1.0,1.0,0.35,0.6,0.5445848435163498,0.7860465109348297,2021-07-27_11-18-59
35,50.0,0.1,9.0,3.0,adam,relu,0.0043798052543685476,40.0,False,1.0,1.0,0.25,0.6,0.16855223141610623,0.9432270646095275,2021-07-27_13-56-32
36,50.0,0.2,5.0,2.0,adam,relu,0.0001712361884011568,40.0,False,1.0,1.0,0.75,0.6,0.3419175535440445,0.8767505049705505,2021-07-27_12-09-54
37,50.0,0.3,7.0,2.0,adam,relu,0.00035514521497615603,20.0,False,1.0,1.0,0.4,0.0,0.5241068661212921,0.7989126801490783,2021-07-27_11-54-48
38,50.0,0.1,9.0,3.0,adam,elu,1.1729178634485134e-05,50.0,False,0.0,2.0,0.55,0.6,0.5434294909238815,0.7214993834495544,2021-07-27_10-10-17
39,50.0,0.2,7.0,2.0,adam,elu,0.00033433732710485626,50.0,False,1.0,1.0,0.65,0.6,0.577107521891594,0.7324018061161042,2021-07-27_14-45-30
40,50.0,1.0,7.0,3.0,sgd,relu,0.0006884619771206046,50.0,True,1.0,1.0,0.35,0.6,0.7083235740661621,0.5039408892393112,2021-07-27_11-03-52
41,50.0,0.2,5.0,2.0,adam,relu,2.4408166158491257e-05,50.0,False,1.0,1.0,0.45,0.6,0.4634104311466217,0.7790482878684998,2021-07-27_12-32-38
42,50.0,0.1,9.0,2.0,adam,relu,0.0007870304214931706,50.0,False,1.0,1.0,0.4,0.6,0.07638957384042441,0.9791053056716919,2021-07-27_13-35-11
43,50.0,0.2,9.0,2.0,adam,relu,0.001146830525482992,50.0,False,1.0,1.0,0.55,0.6,0.3310602530837059,0.8979040622711182,2021-07-27_11-41-09
44,50.0,1.0,5.0,2.0,adam,elu,0.0021654453927875904,50.0,False,1.0,0.0,0.7,0.6,1.1587371349334716,0.5885468035936355,2021-07-27_11-46-16
45,50.0,0.1,9.0,2.0,sgd,relu,0.0004843458538081107,50.0,False,0.0,1.0,0.65,0.6,0.6087266862392425,0.6633319675922393,2021-07-27_11-33-48
46,50.0,0.2,7.0,3.0,adam,relu,0.000981685689300019,40.0,True,1.0,1.0,0.4,0.6,0.500556355714798,0.8327899396419525,2021-07-27_10-57-41
47,50.0,0.8,9.0,2.0,adam,relu,0.0029136374651139688,50.0,False,1.0,1.0,0.4,0.0,1.4310279846191407,0.6342364490032196,2021-07-27_13-48-09
48,100.0,0.4,7.0,2.0,adam,relu,0.0009466883125225199,50.0,False,1.0,1.0,0.5,0.6,0.7710613936185837,0.8222943782806397,2021-07-27_13-29-35
49,50.0,0.4,9.0,3.0,adam,elu,0.003445740028333013,40.0,True,1.0,0.0,0.5,0.6,0.7394356817007065,0.6532581508159637,2021-07-27_11-26-26
50,50.0,0.2,5.0,2.0,adam,relu,0.00015240049860227982,50.0,False,1.0,1.0,0.7,0.6,0.3138594165444374,0.8812063336372375,2021-07-27_12-39-06
51,100.0,0.3,7.0,3.0,adam,relu,0.006019037073919068,50.0,False,0.0,1.0,0.4,0.6,0.6558182597160339,0.8456896483898163,2021-07-27_11-10-39
52,50.0,0.3,7.0,3.0,adam,relu,0.000777844801408485,40.0,False,1.0,1.0,0.6,0.0,0.8271172761917114,0.7555014550685882,2021-07-27_10-35-17
53,100.0,0.7,9.0,3.0,adam,relu,6.755771200099831e-05,40.0,False,1.0,1.0,0.55,0.6,0.6387209117412567,0.6528571486473084,2021-07-27_10-23-25
54,50.0,0.1,5.0,2.0,adam,relu,0.0006342200501942597,50.0,False,1.0,1.0,0.45,0.0,0.13037023916840554,0.9650041162967682,2021-07-27_12-58-47
55,50.0,0.2,9.0,2.0,adam,relu,8.519200836692231e-05,30.0,False,1.0,1.0,0.5,0.0,0.3999671101570129,0.8152072727680206,2021-07-27_12-52-14
56,50.0,0.1,7.0,2.0,adam,relu,0.0005380895844306309,40.0,False,0.0,1.0,0.6,0.6,0.13138476610183716,0.9554812729358673,2021-07-27_14-53-37
57,50.0,1.0,3.0,3.0,adam,elu,0.0008900726991912294,20.0,True,0.0,0.0,0.75,0.0,0.642711091041565,0.6298029541969299,2021-07-27_09-59-22
58,100.0,0.1,7.0,2.0,adam,relu,0.00052081700294129,50.0,False,1.0,1.0,0.6,0.6,0.10890401732176543,0.9629178702831268,2021-07-27_13-13-04
59,50.0,0.2,9.0,3.0,adam,relu,8.753283596184475e-05,20.0,False,1.0,2.0,0.4,0.0,0.4342335104942322,0.8011178255081177,2021-07-27_10-43-17
60,50.0,0.3,7.0,2.0,adam,relu,0.0001069020233893364,50.0,False,1.0,0.0,0.55,0.6,0.48030878603458405,0.770740020275116,2021-07-27_11-34-33
61,50.0,0.2,7.0,2.0,adam,relu,0.000575537557908675,40.0,False,1.0,1.0,0.65,0.6,0.31839669346809385,0.9083915650844574,2021-07-27_14-46-20
62,50.0,0.1,7.0,2.0,adam,relu,0.0004536274351120798,50.0,False,1.0,1.0,0.65,0.6,0.05236426121555269,0.985454547405243,2021-07-27_14-26-30
63,100.0,1.0,7.0,3.0,adam,relu,0.001265401323436256,40.0,True,1.0,0.0,0.75,0.6,0.5672448843717575,0.6776190549135208,2021-07-27_12-59-11
64,50.0,0.2,5.0,3.0,sgd,relu,0.003772790390335926,20.0,True,1.0,1.0,0.5,0.6,0.4781563401222229,0.7720695614814759,2021-07-27_11-12-11
65,50.0,0.9,5.0,3.0,adam,relu,0.00013909794125521147,20.0,False,1.0,1.0,0.65,0.6,0.6862406134605408,0.5320197075605393,2021-07-27_09-53-23
66,50.0,0.1,3.0,2.0,adam,relu,0.00039301153002677927,40.0,False,1.0,1.0,0.75,0.6,0.08828972559422255,0.9722788989543915,2021-07-27_12-02-08
67,100.0,0.1,5.0,2.0,adam,relu,0.0006734515846339793,30.0,False,1.0,1.0,0.55,0.6,0.1195075617171824,0.9603050887584687,2021-07-27_13-20-22
68,100.0,0.1,7.0,2.0,adam,elu,0.00251489871016387,20.0,False,1.0,1.0,0.6,0.6,0.6934846252202987,0.8463161289691925,2021-07-27_13-05-49
69,50.0,0.2,9.0,2.0,adam,relu,0.0007672257871800029,50.0,False,1.0,1.0,0.6,0.6,0.40009204149246214,0.9049371242523193,2021-07-27_11-47-15
70,100.0,0.2,9.0,2.0,adam,elu,0.0005775925350521469,10.0,False,1.0,0.0,0.35,0.6,0.4175797879695892,0.805370980501175,2021-07-27_13-48-37
71,50.0,0.1,5.0,2.0,adam,relu,0.00016539884955141354,40.0,False,1.0,1.0,0.75,0.6,0.0736968195065856,0.9781900525093079,2021-07-27_12-04-09
72,50.0,0.2,5.0,2.0,sgd,relu,0.00030524667311326354,50.0,False,1.0,1.0,0.35,0.6,0.6956418871879577,0.5140971839427948,2021-07-27_12-45-40
73,50.0,0.1,7.0,2.0,adam,relu,0.00015602152653955163,50.0,False,1.0,1.0,0.6,0.6,0.04687737617641687,0.9840970873832703,2021-07-27_14-55-20
74,50.0,0.4,5.0,2.0,sgd,relu,3.568925782237218e-05,50.0,True,1.0,0.0,0.4,0.6,0.7161289155483246,0.4929198056459427,2021-07-27_10-35-45
75,50.0,0.7,5.0,2.0,adam,elu,0.0002700098239427165,30.0,False,0.0,0.0,0.35,0.6,0.6823353350162507,0.6476190626621247,2021-07-27_10-43-41
76,50.0,0.1,9.0,3.0,adam,relu,0.005285478502832512,50.0,False,0.0,0.0,0.55,0.6,0.2971887901425362,0.927303570508957,2021-07-27_14-04-24
