epoch,accuracy,loss,val_accuracy,val_loss
0,0.8122270703315735,0.5723082423210144,0.8777292370796204,0.2889455556869507
1,0.9279475808143616,0.18953172862529755,0.9497816562652588,0.14747263491153717
2,0.9563318490982056,0.13837839663028717,0.9388646483421326,0.16657520830631256
3,0.9661571979522705,0.09777769446372986,0.9519650936126709,0.13241350650787354
4,0.9765284061431885,0.0824097990989685,0.9257642030715942,0.21446622908115387
5,0.9825327396392822,0.05938320234417915,0.9541484713554382,0.1299438178539276
6,0.9841703176498413,0.05170838534832001,0.9454148411750793,0.17559602856636047
7,0.9770742654800415,0.09217024594545364,0.9497816562652588,0.2249196618795395
8,0.9792576432228088,0.061412420123815536,0.9344978332519531,0.2727203071117401
9,0.9874454140663147,0.03793999180197716,0.9497816562652588,0.1964518427848816
10,0.9847161769866943,0.05896994471549988,0.9563318490982056,0.251985102891922
11,0.9639738202095032,0.12775848805904388,0.9628821015357971,0.16360177099704742
12,0.971069872379303,0.12407790124416351,0.9541484713554382,0.20678062736988068
13,0.9890829920768738,0.03628335893154144,0.9388646483421326,0.37634819746017456
14,0.9863536953926086,0.06339742243289948,0.943231463432312,0.21351765096187592
15,0.9874454140663147,0.038689274340867996,0.9672489166259766,0.18514680862426758
16,0.9967249035835266,0.014486943371593952,0.9672489166259766,0.20404081046581268
17,0.998908281326294,0.0036575868725776672,0.9628821015357971,0.2249928116798401
18,0.998908281326294,0.0028006075881421566,0.9672489166259766,0.22083961963653564
19,1.0,0.00016256605158559978,0.9672489166259766,0.14999821782112122
20,1.0,4.845392322749831e-05,0.971615731716156,0.15147610008716583
21,1.0,1.9534134480636567e-05,0.971615731716156,0.15255913138389587
22,1.0,1.5856783647905104e-05,0.971615731716156,0.15294374525547028
23,1.0,1.3568053873314057e-05,0.971615731716156,0.1534685641527176
24,1.0,1.2024166608171072e-05,0.971615731716156,0.1538897454738617
25,1.0,1.08364547486417e-05,0.971615731716156,0.1539866179227829
