epoch,accuracy,loss,val_accuracy,val_loss
0,0.5790343880653381,0.674229085445404,0.6543291211128235,0.6191387176513672
1,0.6757605671882629,0.6027258634567261,0.6986120343208313,0.5766066908836365
2,0.7175925970077515,0.54494708776474,0.7098479866981506,0.5466284155845642
3,0.7701719403266907,0.47071167826652527,0.762062132358551,0.4823598265647888
4,0.7982804179191589,0.43292146921157837,0.7970918416976929,0.4234344959259033
5,0.8422619104385376,0.34911277890205383,0.8413747549057007,0.34521859884262085
6,0.860615074634552,0.3236411213874817,0.8400529026985168,0.33906447887420654
7,0.8769841194152832,0.2823803126811981,0.8565763235092163,0.3138357698917389
8,0.9065806865692139,0.22999396920204163,0.8678122758865356,0.31844449043273926
9,0.9171627163887024,0.20033462345600128,0.8730998039245605,0.28792157769203186
10,0.9290674328804016,0.1971454918384552,0.8975545167922974,0.2413056343793869
11,0.9447751045227051,0.15750814974308014,0.8625248074531555,0.33818191289901733
12,0.9388227462768555,0.17962278425693512,0.9193655252456665,0.20103590190410614
13,0.9639550447463989,0.10881386697292328,0.9180436134338379,0.19424888491630554
14,0.9624669551849365,0.12298677116632462,0.8737607598304749,0.42052507400512695
15,0.9460979104042053,0.15624891221523285,0.9226701855659485,0.1791955530643463
16,0.9780092835426331,0.07124011218547821,0.935888946056366,0.157260462641716
17,0.9849537014961243,0.057871587574481964,0.9332451820373535,0.17069949209690094
18,0.966269850730896,0.11927828937768936,0.8737607598304749,0.3853975534439087
19,0.9578372836112976,0.15550418198108673,0.9332451820373535,0.16564655303955078
20,0.9933862686157227,0.035929370671510696,0.9477858543395996,0.14582210779190063
21,0.9953703880310059,0.028438618406653404,0.9319233298301697,0.19251835346221924
22,0.9826388955116272,0.059167586266994476,0.9061467051506042,0.2740669846534729
23,0.9859457612037659,0.05749902129173279,0.9411764740943909,0.18493086099624634
24,0.99057537317276,0.04373140260577202,0.9312623739242554,0.1841348558664322
25,0.9804894328117371,0.07662973552942276,0.9226701855659485,0.2586502730846405
