epoch,accuracy,loss,val_accuracy,val_loss
0,0.8176862597465515,0.38801130652427673,0.8861985206604004,0.2906169295310974
1,0.902483344078064,0.23898737132549286,0.8910411596298218,0.25875917077064514
2,0.9139915108680725,0.21370884776115417,0.8861985206604004,0.2736985683441162
3,0.925499677658081,0.18258851766586304,0.8934624791145325,0.22557836771011353
4,0.9400363564491272,0.15812566876411438,0.9225181341171265,0.19637776911258698
5,0.9491217732429504,0.13107188045978546,0.9346246719360352,0.18207187950611115
6,0.959418535232544,0.11496447771787643,0.8983050584793091,0.2500082850456238
7,0.9515445232391357,0.12063712626695633,0.9394673109054565,0.17919844388961792
8,0.9721381068229675,0.08246464282274246,0.9564164876937866,0.1375567764043808
9,0.9781950116157532,0.06967993825674057,0.9612590670585632,0.1336013525724411
10,0.9836462736129761,0.054869145154953,0.9588377475738525,0.11782964318990707
11,0.9842519760131836,0.048756539821624756,0.9612590670585632,0.1151292622089386
12,0.9800121188163757,0.061501871794462204,0.9467312097549438,0.23229852318763733
13,0.9794064164161682,0.049433473497629166,0.9709442853927612,0.11515524238348007
14,0.998788595199585,0.013718582689762115,0.9733656048774719,0.10735015571117401
15,0.9993942975997925,0.009363120421767235,0.9757869243621826,0.10206566751003265
16,1.0,0.007782229222357273,0.9757869243621826,0.10092610120773315
17,0.998788595199585,0.007778558414429426,0.9733656048774719,0.0953153669834137
18,1.0,0.003728338051587343,0.9757869243621826,0.0991172343492508
19,1.0,0.0026881133671849966,0.9733656048774719,0.09568703174591064
20,1.0,0.0020777687896043062,0.9782082438468933,0.0938490629196167
21,1.0,0.001758693833835423,0.980629563331604,0.09566236287355423
22,1.0,0.0014459071680903435,0.9782082438468933,0.09347660094499588
23,1.0,0.0013663320569321513,0.980629563331604,0.09225846081972122
24,1.0,0.001060814713127911,0.980629563331604,0.09171337634325027
25,1.0,0.0009703101823106408,0.9830508232116699,0.09306897222995758
26,1.0,0.0008339019841514528,0.980629563331604,0.09563388675451279
27,1.0,0.0007092450396157801,0.9830508232116699,0.09174453467130661
28,1.0,0.000682449375744909,0.980629563331604,0.09533047676086426
29,1.0,0.0005956257227808237,0.9830508232116699,0.09165380150079727
30,1.0,0.0005207310314290226,0.9830508232116699,0.09174332767724991
