epoch,accuracy,loss,val_accuracy,val_loss
0,0.7798398733139038,0.4724809527397156,0.7947598099708557,0.422372430562973
1,0.8478893637657166,0.3581581711769104,0.8340611457824707,0.38013336062431335
2,0.8664483428001404,0.30857613682746887,0.8340611457824707,0.3581365644931793
3,0.8962882161140442,0.2545582354068756,0.8675400018692017,0.2943841218948364
4,0.9192139506340027,0.20564238727092743,0.8850072622299194,0.26592159271240234
5,0.9359534382820129,0.16360454261302948,0.8850072622299194,0.2875823378562927
6,0.9486899375915527,0.12954829633235931,0.8820960521697998,0.28371164202690125
7,0.9614264965057373,0.10614830255508423,0.8777292370796204,0.3264792859554291
8,0.9712518453598022,0.07807127386331558,0.8762736320495605,0.31217682361602783
9,0.9807132482528687,0.05764713138341904,0.8791848421096802,0.3577900528907776
