epoch,accuracy,loss,val_accuracy,val_loss
0,0.5298862457275391,0.7304977774620056,0.5588898062705994,0.6788032054901123
1,0.5496460199356079,0.6898908615112305,0.5729783177375793,0.67598557472229
2,0.5648269057273865,0.6818302273750305,0.5843899846076965,0.6645676493644714
3,0.5852206945419312,0.6705500483512878,0.6022823452949524,0.6567801237106323
4,0.603148877620697,0.6609622240066528,0.6114398241043091,0.6487406492233276
5,0.6186819672584534,0.6491950154304504,0.6314454674720764,0.6357060670852661
6,0.639075756072998,0.6360475420951843,0.6653987169265747,0.6119000315666199
7,0.6516149640083313,0.6229714751243591,0.6415891647338867,0.6272382140159607
8,0.6694726943969727,0.6083437204360962,0.6828684210777283,0.5917761921882629
9,0.6809552311897278,0.5929796695709229,0.7051281929016113,0.5699775815010071
10,0.6931069493293762,0.5761099457740784,0.7109044790267944,0.5569227933883667
11,0.7119861841201782,0.5566136837005615,0.7289377450942993,0.5412304401397705
12,0.7215666770935059,0.5398727059364319,0.7200620174407959,0.5348453521728516
13,0.7404106855392456,0.5185949206352234,0.7441532611846924,0.5078452229499817
14,0.7467507123947144,0.5034871697425842,0.7402085065841675,0.5051589608192444
15,0.7584797739982605,0.4848845303058624,0.7142857313156128,0.5615445971488953
16,0.7692578434944153,0.4672044813632965,0.7217525839805603,0.5399076342582703
17,0.7778521180152893,0.4508892297744751,0.7683854699134827,0.4693349301815033
18,0.792398989200592,0.4315683841705322,0.7795153856277466,0.4590514600276947
19,0.802824854850769,0.4137733280658722,0.7433079481124878,0.4882792830467224
20,0.8070867657661438,0.40437251329421997,0.7885319590568542,0.4357927143573761
21,0.8100806474685669,0.39547720551490784,0.7726119756698608,0.46221932768821716
22,0.8193793892860413,0.37645450234413147,0.8067061305046082,0.41417422890663147
23,0.8250149488449097,0.3709973692893982,0.8219216465950012,0.38780146837234497
24,0.8337149024009705,0.35453882813453674,0.8067061305046082,0.39510759711265564
25,0.8394209146499634,0.3451695740222931,0.8095238208770752,0.4012581408023834
26,0.844457745552063,0.3362867534160614,0.8126232624053955,0.397369384765625
27,0.8494593501091003,0.3260922431945801,0.8336151242256165,0.3656126856803894
28,0.8530167937278748,0.3169808089733124,0.8348830938339233,0.36640021204948425
29,0.8530167937278748,0.31661084294319153,0.8457311987876892,0.338819295167923
30,0.863196074962616,0.2988061308860779,0.8191039562225342,0.4003960192203522
31,0.8639709949493408,0.29932206869125366,0.8285432457923889,0.3626484274864197
32,0.8693952560424805,0.28725486993789673,0.8531981110572815,0.33092713356018066
33,0.8722482323646545,0.28119784593582153,0.8231896162033081,0.40470126271247864
34,0.8754534721374512,0.2776660621166229,0.8186812996864319,0.3902070224285126
35,0.8805607557296753,0.2664099335670471,0.8324880003929138,0.3604033589363098
36,0.8833081126213074,0.2676529586315155,0.8488306403160095,0.33889463543891907
37,0.8840125203132629,0.2612297832965851,0.8160045146942139,0.39794284105300903
