epoch,accuracy,loss,val_accuracy,val_loss
0,0.5027958750724792,0.7161428928375244,0.5307262539863586,0.6935853958129883
1,0.5135135054588318,0.6941969394683838,0.5307262539863586,0.6936032772064209
2,0.5340167880058289,0.6895632147789001,0.5474860072135925,0.689309298992157
3,0.5279589891433716,0.6922869682312012,0.5307262539863586,0.696305513381958
4,0.5358806848526001,0.6914248466491699,0.5474860072135925,0.6926537752151489
5,0.5675675868988037,0.6794960498809814,0.5605214238166809,0.6902827024459839
6,0.5796831250190735,0.6693204641342163,0.5698323845863342,0.679627537727356
7,0.589002788066864,0.6724470853805542,0.5381750464439392,0.6752292513847351
8,0.6081081032752991,0.6538559198379517,0.575419008731842,0.6603496074676514
9,0.6346691250801086,0.644119143486023,0.6052141785621643,0.6558673977851868
10,0.6267474293708801,0.6477382183074951,0.5977653861045837,0.6681853532791138
11,0.6360670924186707,0.6329990029335022,0.6033519506454468,0.652671754360199
12,0.6421248912811279,0.6242468953132629,0.6201117038726807,0.6689079999923706
13,0.6672880053520203,0.6114768981933594,0.6070763468742371,0.6560297012329102
14,0.6896551847457886,0.595725417137146,0.6145251393318176,0.650758683681488
15,0.6691519021987915,0.6130516529083252,0.6052141785621643,0.6468887329101562
16,0.680801510810852,0.5951776504516602,0.6126629710197449,0.6349204182624817
17,0.6961789131164551,0.5766052007675171,0.6312848925590515,0.6667341589927673
18,0.6896551847457886,0.5757044553756714,0.6089385747909546,0.6449931263923645
19,0.6957129836082458,0.5634657740592957,0.6387336850166321,0.6889479160308838
20,0.7027027010917664,0.5657668709754944,0.6182495355606079,0.6292903423309326
21,0.6971108913421631,0.5652894377708435,0.6387336850166321,0.6354763507843018
22,0.7041006684303284,0.5409150719642639,0.659217894077301,0.6265687942504883
23,0.7106243968009949,0.5409298539161682,0.6256983280181885,0.6442615389823914
24,0.7241379022598267,0.5257942080497742,0.6443203091621399,0.6860671043395996
25,0.6835973858833313,0.5975297689437866,0.6256983280181885,0.6346012949943542
26,0.6877912282943726,0.5743183493614197,0.6182495355606079,0.6373848915100098
27,0.7041006684303284,0.5503231883049011,0.6182495355606079,0.6274542808532715
