epoch,accuracy,loss,val_accuracy,val_loss
0,0.5173800587654114,0.8325274586677551,0.5304247736930847,0.7704060673713684
1,0.5532892942428589,0.7020125389099121,0.5924224853515625,0.6666150689125061
2,0.5846021175384521,0.6884262561798096,0.585533857345581,0.6779019236564636
3,0.6121804118156433,0.6596230268478394,0.6314581036567688,0.6577520370483398
4,0.6371732354164124,0.6494607925415039,0.6326062083244324,0.6500268578529358
5,0.6601551175117493,0.6285925507545471,0.633754312992096,0.6529149413108826
6,0.6653260588645935,0.6236792206764221,0.633754312992096,0.6673884391784668
7,0.6756678819656372,0.6086595058441162,0.6681974530220032,0.6193850040435791
8,0.7009479999542236,0.5889208316802979,0.6544201970100403,0.6515020132064819
9,0.7052571177482605,0.5717485547065735,0.6865671873092651,0.6072432398796082
10,0.7190462350845337,0.5645449161529541,0.6704936623573303,0.6152803301811218
11,0.7296753525733948,0.5406845211982727,0.6647531390190125,0.6200489401817322
12,0.7463372349739075,0.524522602558136,0.6624569296836853,0.6131448745727539
13,0.7477736473083496,0.5166298151016235,0.6704936623573303,0.6590198278427124
14,0.7546681761741638,0.5141146779060364,0.7072330713272095,0.5665027499198914
15,0.7770755290985107,0.48004287481307983,0.700344443321228,0.6010519862174988
16,0.7871301174163818,0.4659421443939209,0.6991963386535645,0.5982578992843628
17,0.789715588092804,0.452201783657074,0.7129735946655273,0.5811914801597595
18,0.7914392352104187,0.43996238708496094,0.7210103273391724,0.6243045926094055
19,0.8023556470870972,0.4209563732147217,0.7118254899978638,0.6226440668106079
20,0.8138465881347656,0.41141122579574585,0.692307710647583,0.6619377136230469
21,0.8213157057762146,0.396959125995636,0.7187141180038452,0.6412073373794556
22,0.8270611763000488,0.38467472791671753,0.7370837926864624,0.5897397994995117
23,0.8330939412117004,0.3737936019897461,0.7267508506774902,0.6038510203361511
24,0.8399885296821594,0.36235955357551575,0.7451205253601074,0.6360281705856323
25,0.8371157646179199,0.35559722781181335,0.7244546413421631,0.6207727193832397
26,0.8534903526306152,0.33321622014045715,0.7324913740158081,0.6342613697052002
27,0.8592358231544495,0.32255566120147705,0.708381175994873,0.7054305076599121
28,0.8638322353363037,0.3162063658237457,0.730195164680481,0.6982569098472595
29,0.8618212938308716,0.3194916844367981,0.7267508506774902,0.6438226103782654
