epoch,accuracy,loss,val_accuracy,val_loss
0,0.8101319670677185,0.42026689648628235,0.8227990865707397,0.3858080506324768
1,0.841600239276886,0.3612765967845917,0.8140519261360168,0.4059979319572449
2,0.8576166033744812,0.33374613523483276,0.8645598292350769,0.3207288980484009
3,0.8702462315559387,0.3061710298061371,0.8623024821281433,0.3343300223350525
4,0.8864743113517761,0.2795940935611725,0.8831828236579895,0.28362566232681274
5,0.8981161117553711,0.24412071704864502,0.884593665599823,0.27917003631591797
6,0.9122980237007141,0.22019614279270172,0.8967268466949463,0.2640780806541443
7,0.9249982237815857,0.1887206882238388,0.9060384035110474,0.23303453624248505
8,0.9343822598457336,0.1632215529680252,0.9051918983459473,0.24245242774486542
9,0.9424257278442383,0.14750291407108307,0.9088600277900696,0.22331880033016205
10,0.9517392516136169,0.12503431737422943,0.9181715846061707,0.21557298302650452
11,0.9566076397895813,0.11301703006029129,0.9049097299575806,0.25981757044792175
12,0.9621110558509827,0.10045010596513748,0.9229683876037598,0.2217775583267212
13,0.96754390001297,0.08604463189840317,0.9266365766525269,0.2593673765659332
14,0.9702956080436707,0.08566709607839584,0.9305869340896606,0.21322576701641083
15,0.9746701717376709,0.07176291942596436,0.9266365766525269,0.2756461501121521
16,0.9767868518829346,0.06453345715999603,0.9325620532035828,0.23871442675590515
17,0.9755168557167053,0.06583844125270844,0.9263544082641602,0.2848912477493286
18,0.981090784072876,0.05516134947538376,0.9119638800621033,0.32380661368370056
19,0.9803146719932556,0.056570496410131454,0.93707674741745,0.27355319261550903
20,0.9828547239303589,0.05104891583323479,0.9353837370872498,0.2508103549480438
21,0.9820786118507385,0.04987476021051407,0.9277652502059937,0.2563302218914032
22,0.978833019733429,0.06554108113050461,0.9257900714874268,0.26140058040618896
23,0.9822902679443359,0.05312409996986389,0.9430022835731506,0.27077701687812805
24,0.9866647720336914,0.04224681481719017,0.9257900714874268,0.24652788043022156
25,0.9873703718185425,0.03662601858377457,0.9427201151847839,0.2310543656349182
26,0.9878642559051514,0.03329504653811455,0.9348194003105164,0.2619651257991791
27,0.9792563319206238,0.057433195412158966,0.9430022835731506,0.2946852743625641
28,0.9889931678771973,0.03119625523686409,0.940744936466217,0.26212120056152344
