epoch,accuracy,loss,val_accuracy,val_loss
0,0.5724863409996033,0.6759786009788513,0.641855001449585,0.6392381191253662
1,0.6946609616279602,0.5674022436141968,0.7459080219268799,0.5102418661117554
2,0.7935502529144287,0.4356157183647156,0.7981293797492981,0.41152381896972656
3,0.8486944437026978,0.33476385474205017,0.8332034349441528,0.3688248097896576
4,0.8850350975990295,0.26028457283973694,0.8612626791000366,0.3156563341617584
5,0.9133865833282471,0.20782534778118134,0.8850350975990295,0.2825532555580139
6,0.93852299451828,0.15729312598705292,0.8713951706886292,0.29919934272766113
7,0.9531371593475342,0.1187041625380516,0.8943881392478943,0.26745209097862244
8,0.9638542532920837,0.09375705569982529,0.8889321684837341,0.2847546339035034
9,0.9663873910903931,0.09002139419317245,0.9037412405014038,0.25230082869529724
10,0.9853858351707458,0.04581975191831589,0.9088074564933777,0.29897475242614746
11,0.9866523742675781,0.04210225120186806,0.8908807635307312,0.3370123505592346
12,0.9841192364692688,0.04819333925843239,0.9130942821502686,0.31649333238601685
13,0.9855806827545166,0.040410660207271576,0.8943881392478943,0.3873012363910675
14,0.9874318242073059,0.03750655800104141,0.8959469795227051,0.3693189024925232
15,0.9861652255058289,0.038713958114385605,0.9111457467079163,0.32611963152885437
16,0.9928877353668213,0.021348819136619568,0.9014029502868652,0.39253759384155273
17,0.9854832291603088,0.04518384113907814,0.9072486162185669,0.3021652102470398
