,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
0,100.0,0.2,3.0,3.0,adam,relu,0.0002215073508119845,50.0,False,1.0,1.0,0.65,0.0,0.10737857334315777,0.9662626266479493,2021-07-27_12-50-07
1,100.0,0.2,3.0,3.0,adam,relu,0.0007961976924541605,50.0,False,1.0,0.0,0.6,0.0,0.15616435506381093,0.9595454633235931,2021-07-27_13-32-40
2,100.0,0.1,3.0,3.0,adam,relu,0.0025031738052234344,50.0,False,1.0,0.0,0.65,0.0,0.06280482043512166,0.981616985797882,2021-07-27_13-25-41
3,100.0,0.3,9.0,3.0,adam,elu,0.00048197919212232597,50.0,False,0.0,1.0,0.55,0.6,0.2679644847288728,0.9225287318229676,2021-07-27_10-26-46
4,100.0,0.3,3.0,3.0,sgd,relu,0.0005980036892745075,50.0,False,1.0,1.0,0.7,0.0,0.6782946228981018,0.6079310327768326,2021-07-27_12-57-05
5,100.0,0.1,7.0,3.0,sgd,elu,0.0008565349626978195,50.0,True,1.0,0.0,0.7,0.0,0.2520605556666851,0.9015959024429321,2021-07-27_10-20-20
6,100.0,1.0,9.0,3.0,adam,elu,0.00011218730087832993,50.0,True,0.0,2.0,0.6,0.6,0.3040047824382782,0.892380952835083,2021-07-27_10-12-58
7,50.0,0.3,7.0,2.0,adam,relu,0.005580153023113606,10.0,False,1.0,0.0,0.65,0.0,0.4237475603818893,0.8893254995346069,2021-07-27_11-46-42
8,50.0,0.1,3.0,2.0,sgd,relu,0.0015039065732778334,20.0,False,1.0,0.0,0.65,0.0,0.29534934312105177,0.8739813923835754,2021-07-27_12-23-59
9,50.0,0.8,9.0,2.0,adam,relu,0.0003511783495989414,20.0,True,0.0,0.0,0.55,0.6,0.48556742668151853,0.7775862097740174,2021-07-27_11-31-19
10,50.0,0.2,9.0,2.0,sgd,relu,0.0016322089610781667,50.0,False,1.0,0.0,0.35,0.6,0.3982908546924591,0.825174480676651,2021-07-27_11-40-10
11,50.0,0.1,5.0,2.0,sgd,relu,0.0009611815608779065,10.0,False,0.0,0.0,0.35,0.0,0.31119826138019563,0.8644161701202393,2021-07-27_11-04-18
12,100.0,0.1,3.0,3.0,adam,relu,0.0011434389161679081,50.0,False,1.0,0.0,0.7,0.0,0.07264133146964014,0.9889190077781678,2021-07-27_13-19-00
13,100.0,0.4,3.0,3.0,adam,relu,0.0039429357149834395,30.0,False,1.0,1.0,0.75,0.0,0.3654230366650154,0.9456521689891815,2021-07-27_12-36-24
14,100.0,0.4,7.0,3.0,adam,elu,0.0007013638146753829,40.0,False,0.0,1.0,0.75,0.6,0.3410370105877519,0.9102766871452331,2021-07-27_09-59-09
15,100.0,0.1,3.0,3.0,adam,relu,0.0011055878916050488,50.0,False,1.0,1.0,0.65,0.0,0.05939340795157477,0.971680223941803,2021-07-27_13-11-34
16,50.0,0.5,7.0,2.0,adam,relu,7.753005715596303e-05,20.0,False,1.0,0.0,0.55,0.6,0.43002224862575533,0.8186651587486267,2021-07-27_11-19-18
17,100.0,0.2,3.0,3.0,adam,relu,0.0018460638435503912,50.0,False,1.0,0.0,0.55,0.0,0.20801948234438897,0.9367171704769135,2021-07-27_13-26-06
18,100.0,0.7,5.0,3.0,adam,elu,0.00011525969156683806,40.0,False,1.0,0.0,0.75,0.0,0.32284242287278175,0.873333340883255,2021-07-27_12-43-06
19,100.0,0.3,3.0,3.0,sgd,relu,3.792895462835925e-05,50.0,False,1.0,0.0,0.75,0.0,0.696400260925293,0.4662069082260132,2021-07-27_12-50-29
20,100.0,0.3,3.0,3.0,sgd,relu,0.0015727056431427734,40.0,False,1.0,0.0,0.65,0.0,0.5746397018432617,0.7804597675800323,2021-07-27_13-33-10
21,100.0,0.3,3.0,3.0,adam,elu,0.00010721478652629198,50.0,False,1.0,0.0,0.7,0.0,0.2370482474565506,0.891839075088501,2021-07-27_13-04-23
22,100.0,0.1,3.0,3.0,adam,relu,0.00020772836061169674,50.0,False,1.0,0.0,0.7,0.0,0.06171369720250368,0.9828365027904511,2021-07-27_12-57-45
23,100.0,0.3,3.0,3.0,sgd,relu,0.0003892351898123532,50.0,False,1.0,0.0,0.75,0.0,0.6825891196727752,0.6006896644830704,2021-07-27_13-12-00
24,50.0,0.9,7.0,3.0,sgd,relu,9.211576254544734e-05,30.0,True,0.0,2.0,0.75,0.0,0.6871757566928863,0.516896553337574,2021-07-27_10-27-17
25,50.0,0.2,7.0,2.0,adam,relu,0.002471043309428359,40.0,False,0.0,2.0,0.45,0.6,0.3248226657509804,0.9341404438018799,2021-07-27_10-57-51
26,50.0,0.4,3.0,2.0,adam,relu,0.0007639535111822754,30.0,False,0.0,0.0,0.45,0.6,0.3548836261034012,0.8631355941295624,2021-07-27_11-04-47
27,50.0,0.1,7.0,2.0,sgd,relu,0.0037204669495106025,10.0,True,0.0,2.0,0.6,0.0,0.20687079429626465,0.9175925612449646,2021-07-27_11-33-57
28,50.0,0.2,9.0,2.0,adam,relu,0.0020927820506244504,20.0,True,0.0,2.0,0.5,0.6,0.2251521900296211,0.9121065378189087,2021-07-27_10-43-56
29,100.0,0.2,3.0,3.0,adam,relu,0.00036318640329883626,50.0,False,1.0,1.0,0.75,0.0,0.0997666203416884,0.9683333396911621,2021-07-27_13-04-47
30,100.0,0.5,9.0,3.0,adam,elu,0.004686044875777347,40.0,False,0.0,2.0,0.35,0.6,1.1114337326958776,0.887351781129837,2021-07-27_10-20-43
31,100.0,0.1,3.0,3.0,adam,relu,0.0010341858057692221,50.0,False,1.0,0.0,0.6,0.0,0.05871225302107632,0.984025901556015,2021-07-27_13-33-39
32,100.0,0.1,3.0,3.0,adam,relu,0.0013747069854442523,50.0,False,1.0,0.0,0.65,0.0,0.045834239572286606,0.9889641761779785,2021-07-27_13-19-30
33,50.0,0.2,9.0,2.0,adam,relu,0.0005145005900639618,30.0,True,0.0,2.0,0.35,0.6,0.19343256205320358,0.9282296001911163,2021-07-27_10-50-26
