epoch,accuracy,loss,val_accuracy,val_loss
0,0.5412979125976562,0.6903077363967896,0.5941176414489746,0.685322105884552
1,0.6327433586120605,0.6495391130447388,0.5852941274642944,0.6660634875297546
2,0.6651917695999146,0.5886313915252686,0.5941176414489746,0.673838198184967
3,0.7138643264770508,0.5513120889663696,0.6176470518112183,0.6286342144012451
4,0.733775794506073,0.5176149606704712,0.6088235378265381,0.6564321517944336
5,0.7566371560096741,0.4997115135192871,0.6411764621734619,0.6414438486099243
6,0.7780236005783081,0.45975491404533386,0.6441176533699036,0.6763707995414734
7,0.8016223907470703,0.42356306314468384,0.6264705657958984,0.7053723335266113
8,0.8016223907470703,0.41046810150146484,0.6411764621734619,0.763213574886322
9,0.8097345232963562,0.394720196723938,0.6647058725357056,0.6902562975883484
10,0.8303834795951843,0.36353790760040283,0.6499999761581421,0.7619128823280334
11,0.8458701968193054,0.3502613604068756,0.6529411673545837,0.7811527252197266
12,0.8731563687324524,0.30680468678474426,0.6647058725357056,0.738227367401123
13,0.8856931924819946,0.2769390940666199,0.658823549747467,0.7752689123153687
14,0.8908554315567017,0.25438860058784485,0.6558823585510254,0.8186569213867188
