epoch,accuracy,loss,val_accuracy,val_loss
0,0.6292725801467896,0.6628423929214478,0.6542056202888489,0.6243448853492737
1,0.7101957201957703,0.5491271018981934,0.6997663378715515,0.5690200924873352
2,0.7496348023414612,0.5026953220367432,0.7453271150588989,0.5298747420310974
3,0.7768039703369141,0.4666624665260315,0.7546728849411011,0.5090643763542175
4,0.784107506275177,0.4476272463798523,0.7453271150588989,0.49869367480278015
5,0.7934560179710388,0.4304303824901581,0.7628504633903503,0.49904540181159973
6,0.806602418422699,0.41648775339126587,0.7663551568984985,0.4774620532989502
7,0.8144901990890503,0.3987249433994293,0.769859790802002,0.47457975149154663
8,0.8194566369056702,0.38632291555404663,0.7686915993690491,0.46618202328681946
9,0.8244230151176453,0.38012734055519104,0.7745327353477478,0.46321311593055725
10,0.831434428691864,0.36970216035842896,0.7827102541923523,0.4559997022151947
11,0.8393222093582153,0.3625299632549286,0.7815420627593994,0.4499199092388153
12,0.8369851112365723,0.35545146465301514,0.7897196412086487,0.4436659812927246
13,0.8542214632034302,0.34058210253715515,0.7943925261497498,0.44076007604599
14,0.8530528545379639,0.3335878551006317,0.7850467562675476,0.4389899671077728
15,0.8542214632034302,0.32935839891433716,0.7932242751121521,0.43653470277786255
16,0.8667834997177124,0.3223225772380829,0.7955607771873474,0.43063315749168396
17,0.8644464015960693,0.3186449110507965,0.7932242751121521,0.42969825863838196
18,0.8673678040504456,0.312604159116745,0.7943925261497498,0.42581138014793396
19,0.8723341822624207,0.30049028992652893,0.7932242751121521,0.4319911599159241
20,0.8781770467758179,0.2980332672595978,0.802570104598999,0.4298343360424042
21,0.8781770467758179,0.29056429862976074,0.8107476830482483,0.4178891181945801
22,0.8825591802597046,0.28562265634536743,0.802570104598999,0.42209845781326294
23,0.8828513026237488,0.2803051173686981,0.8002336621284485,0.4233696758747101
24,0.8951212167739868,0.2678229510784149,0.7990654110908508,0.42582517862319946
25,0.8866491317749023,0.2772735059261322,0.8060747385025024,0.42472440004348755
26,0.9021326303482056,0.2632623314857483,0.8060747385025024,0.4185734689235687
