,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
0,50.0,0.1,9.0,3.0,adam,relu,0.002179665361605076,20.0,False,1.0,1.0,0.35,0.0,0.23414851874113082,0.9385317385196685,2021-07-12_20-16-54
1,50.0,0.1,9.0,3.0,adam,relu,0.006130615511004377,20.0,False,1.0,2.0,0.45,0.6,0.3333452969789505,0.858115690946579,2021-07-12_20-47-10
2,50.0,0.1,7.0,3.0,adam,relu,0.0006077006632617341,30.0,False,1.0,2.0,0.3,0.0,0.314935901761055,0.923038375377655,2021-07-12_17-40-18
3,100.0,0.1,9.0,2.0,adam,elu,0.00015518268018711854,50.0,True,0.0,0.0,0.3,0.0,0.2496471032500267,0.9010764479637146,2021-07-12_16-53-18
4,100.0,0.3,3.0,3.0,adam,relu,0.00048489924597692606,20.0,False,0.0,2.0,0.25,0.0,0.3262726113200188,0.8937007784843445,2021-07-12_17-41-08
5,100.0,0.2,5.0,3.0,adam,elu,0.0007694486554750057,50.0,True,1.0,1.0,0.35,0.0,0.3550612092018127,0.88687664270401,2021-07-12_15-53-44
6,100.0,0.3,3.0,2.0,adam,elu,0.0006909635815120282,20.0,True,0.0,2.0,0.6,0.0,0.3475539952516556,0.8854330658912659,2021-07-12_16-16-56
7,100.0,0.7,9.0,3.0,adam,relu,0.00018669152754243712,20.0,False,1.0,1.0,0.25,0.6,0.28325448334217074,0.8881889700889587,2021-07-12_22-34-27
8,100.0,0.8,9.0,2.0,adam,elu,0.005235244567952601,50.0,False,1.0,1.0,0.3,0.0,0.5847199112176895,0.8448818862438202,2021-07-12_16-59-31
9,100.0,1.0,3.0,2.0,adam,elu,2.8850197605506837e-05,50.0,True,0.0,1.0,0.2,0.0,0.4237214118242264,0.8039370059967041,2021-07-12_17-15-37
10,50.0,0.2,3.0,2.0,adam,elu,4.021759433166232e-05,40.0,True,0.0,2.0,0.35,0.0,0.34807154834270476,0.8475393831729889,2021-07-12_16-36-13
11,50.0,0.2,5.0,3.0,adam,relu,0.0013543121835647353,30.0,False,0.0,2.0,0.55,0.0,0.536336886882782,0.8612204790115356,2021-07-12_20-27-42
12,50.0,0.8,5.0,3.0,sgd,elu,0.0015750238505676574,30.0,True,0.0,0.0,0.6,0.0,0.40752593576908114,0.8216535568237304,2021-07-12_17-06-32
